THBL,JALAN,TOTAL_PAKAI,TOTAL_RP,JUMLAH_PELANGGAN,HARGA_PER_M3,Latitude,Longitude
202403,RODAH SEKOLAHAN,1794,5289250,42,2948.2998885172797,-7.279833,112.796322
202403,TEGAL MULYOREJO,867,3225600,29,3720.415224913495,-7.2750916,112.7936262
202404,ARIF RACHMAN HAKIM,6655,82917000,5,12459.353869271225,-7.288531,112.798155
202404,ASEM PAYUNG,8962,23553100,286,2628.107565275608,-7.2862181,112.7857511
202404,BUMI MARINA EMAS,1175,7656600,34,6516.255319148936,-7.2911441,112.8020775
202404,BUMI MARINA EMAS BARAT,809,5626100,18,6954.388133498146,-7.2930141,112.8035565
202404,BUMI MARINA EMAS TIMUR,110,613400,7,5576.363636363636,-7.2911441,112.8020775
202404,DESA ASEM PAYUNG,213,1327800,1,6233.802816901409,-7.24917,112.75083
202404,GALAXY BUMI PERMAI,58,324000,2,5586.206896551724,-7.2974136,112.7859957
202404,GEBANG,309,3788500,1,12260.51779935275,-7.2886889,112.7846587
202404,GEBANG KIDUL,6006,23515800,148,3915.3846153846152,-7.2826702,112.7873836
202404,GEBANG KIDUL MAWAR,10,42000,1,4200.0,-7.279833,112.796322
202404,GEBANG KIDUL SEPUHAN,466,1835800,18,3939.4849785407723,-7.279833,112.796322
202404,GEBANG LOR,7041,26978050,175,3831.5651185911092,-7.2810659,112.7878501
202404,GEBANG LOR KANOMAN,812,2053750,25,2529.2487684729062,-7.279833,112.796322
202404,GEBANG PUTIH,3540,17622100,58,4977.994350282486,-7.2819247,112.787992
202404,GEBANG PUTIH RODAH,982,3464300,24,3527.8004073319757,-7.279833,112.796322
202404,GEBANG RODAH MAWAR,110,501700,3,4560.909090909091,-7.279833,112.796322
202404,GEBANG RODAH SEKOLAHAN,78,505000,1,6474.358974358975,-7.279833,112.796322
202404,GEBANG WETAN,4416,18173000,137,4115.26268115942,-7.2811196,112.7896864
202404,GEBANG WETAN RODAH SEKOLAHAN,39,186500,2,4782.051282051282,-7.279833,112.796322
