THBL,JALAN,TOTAL_PAKAI,TOTAL_RP,JUMLAH_PELANGGAN,Latitude,Longitude,CLUSTER
202405,GEBANG RODAH MAWAR,140,640200,3,-7.279833,112.796322,1
202405,GEBANG RODAH SEKOLAHAN,76,491000,1,-7.279833,112.796322,1
202405,GEBANG WETAN,4828,19659850,137,-7.2821858,112.7889758,0
202405,GEBANG WETAN RODAH SEKOLAHAN,27,132500,2,-7.279833,112.796322,1
202405,ITS.HIDRODINAMIKA/KEJ.PT,7,26000,1,-7.281111,112.794611,1
202405,ITS.ILMU PASTI ALAM,726,3155100,15,-7.281111,112.794611,1
202405,ITS.KEPUTIH,844,6190300,13,-7.2788843,112.7903701,1
202405,ITS.TEHNIK ARSITEKTUR,1594,8283100,30,-7.281111,112.794611,1
202405,ITS.TEHNIK FISIKA,621,2866700,16,-7.281111,112.794611,1
202405,ITS.TEHNIK GEODESI,750,3468600,12,-7.281111,112.794611,1
202405,ITS.TEHNIK HIDRODINAMIKA,3486,14586200,105,-7.281111,112.794611,1
202405,ITS.TEHNIK HIDRONIKA,10,42000,1,-7.281111,112.794611,1
202405,ITS.TEHNIK HUMANIORA,578,2426400,16,-7.281111,112.794611,1
202405,ITS.TEHNIK INDUSTRI,732,3513300,13,-7.281111,112.794611,1
202405,ITS.TEHNIK KELAUTAN,450,1770600,14,-7.281111,112.794611,1
202405,ITS.TEHNIK KOMP,40,32000,1,-7.281111,112.794611,1
202405,ITS.TEHNIK KOMPUTER,7931,34479200,204,-7.281111,112.794611,0
202405,ITS.TEHNIK LINGKUNGAN,964,4529400,17,-7.281111,112.794611,1
202405,ITS.TEHNIK PEMUKIMAN,427,2048500,13,-7.281111,112.794611,1
202405,ITS.TEHNIK PENYEHATAN,518,2376000,14,-7.281111,112.794611,1
202405,ITS.TEHNIK PRANCANGAN,282,1089000,6,-7.281111,112.794611,1
202405,ITS.TEHNIK SIPIL,3666,17349500,82,-7.281111,112.794611,1
202405,ITS.TEKNIK INDUSTRI,93,610000,1,-7.2849264,112.7960776,1
202405,KEJAWAN,39,45800,1,-7.2869102,112.8004152,1
202405,KEJAWAN GEBANG,12077,38709000,278,-7.2843409,112.8025697,0
202405,KEJAWAN PUTIH TAMBAK,629,1839350,20,-7.2771141,112.8022547,1
202405,KEPUTIH,128,1209500,3,-7.2987992,112.7836905,0
202405,KEPUTIH TEGAL,16,140800,1,-7.2911063,112.8016511,1
202405,KEPUTIH UTARA,30,120000,1,-7.287331,112.7990127,1
202405,KERTAJAYA INDAH,957,9729800,9,-7.2891374,112.7622277,0
202405,KERTAJAYA INDAH  REGENCY,851,5328000,20,-7.2897291,112.7871392,0
202405,KERTAJAYA INDAH REGENCY,4461,27892000,156,-7.2897291,112.7871392,0
202405,KERTAJAYA INDAH TIMUR,25568,187642500,690,-7.2781217,112.7735354,2
202405,KLAMPIS SACHAROSA,2079,12807700,67,-7.2875191,112.7813849,0
202405,MANYAR KERTOADI,16464,109830300,593,-7.2820425,112.782479,2
202405,MARINA EMAS,1996,12264900,87,-7.2889554,112.802558,1
202405,MARINA EMAS BARAT,6721,38408700,215,-7.2930141,112.8035565,0
